NASDAQ,FLWS,1-800 FLOWERSCOM Inc,FLWS - 1-800 FLOWERSCOM Inc
NASDAQ,FCTY,1st Century Bancshares Inc,FCTY - 1st Century Bancshares Inc
NASDAQ,FCCY,1st Constitution Bancorp (NJ),FCCY - 1st Constitution Bancorp (NJ)
NASDAQ,SRCE,1st Source Corporation,SRCE - 1st Source Corporation
NASDAQ,FUBC,1st United Bancorp Inc (FL),FUBC - 1st United Bancorp Inc (FL)
NASDAQ,TCHC,21st Century Holding Company,TCHC - 21st Century Holding Company
NASDAQ,VNET,21Vianet Group Inc,VNET - 21Vianet Group Inc
NASDAQ,SSRX,3SBio Inc,SSRX - 3SBio Inc
NASDAQ,JOBS,51job Inc,JOBS - 51job Inc
NASDAQ,EGHT,8x8 Inc,EGHT - 8x8 Inc
NASDAQ,AVHI,A V Homes Inc,AVHI - A V Homes Inc
NASDAQ,SHLM,A Schulman Inc,SHLM - A Schulman Inc
NASDAQ,AONE,A123 Systems Inc,AONE - A123 Systems Inc
NASDAQ,AAON,AAON Inc,AAON - AAON Inc
NASDAQ,ASTM,Aastrom Biosciences Inc,ASTM - Aastrom Biosciences Inc
NASDAQ,ABAX,ABAXIS Inc,ABAX - ABAXIS Inc
NASDAQ,ABMD,ABIOMED Inc,ABMD - ABIOMED Inc
NASDAQ,AXAS,Abraxas Petroleum Corporation,AXAS - Abraxas Petroleum Corporation
NASDAQ,ACTG,Acacia Research Corporation,ACTG - Acacia Research Corporation
NASDAQ,ACHC,Acadia Healthcare Company Inc,ACHC - Acadia Healthcare Company Inc
NASDAQ,ACAD,ACADIA Pharmaceuticals Inc,ACAD - ACADIA Pharmaceuticals Inc
NASDAQ,ACCL,Accelrys Inc,ACCL - Accelrys Inc
NASDAQ,ANCX,Access National Corporation,ANCX - Access National Corporation
NASDAQ,ARAY,Accuray Incorporated,ARAY - Accuray Incorporated
NASDAQ,ACRX,AcelRx Pharmaceuticals Inc,ACRX - AcelRx Pharmaceuticals Inc
NASDAQ,ACET,Aceto Corporation,ACET - Aceto Corporation
NASDAQ,ACHN,Achillion Pharmaceuticals Inc,ACHN - Achillion Pharmaceuticals Inc
NASDAQ,ACIW,ACI Worldwide Inc,ACIW - ACI Worldwide Inc
NASDAQ,APKT,Acme Packet Inc,APKT - Acme Packet Inc
NASDAQ,ACNB,ACNB Corporation,ACNB - ACNB Corporation
NASDAQ,ACOR,Acorda Therapeutics Inc,ACOR - Acorda Therapeutics Inc
NASDAQ,ACFN,Acorn Energy Inc,ACFN - Acorn Energy Inc
NASDAQ,ACTS,Actions Semiconductor Co Ltd,ACTS - Actions Semiconductor Co Ltd
NASDAQ,ACPW,Active Power Inc,ACPW - Active Power Inc
NASDAQ,ATVI,Activision Blizzard Inc,ATVI - Activision Blizzard Inc
NASDAQ,BIRT,Actuate Corporation,BIRT - Actuate Corporation
NASDAQ,ACUR,Acura Pharmaceuticals Inc,ACUR - Acura Pharmaceuticals Inc
NASDAQ,ACXM,Acxiom Corporation,ACXM - Acxiom Corporation
NASDAQ,ADES,ADA-ES Inc,ADES - ADA-ES Inc
NASDAQ,ADGF,Adams Golf Inc,ADGF - Adams Golf Inc
NASDAQ,ADUS,Addus HomeCare Corporation,ADUS - Addus HomeCare Corporation
NASDAQ,AEY,ADDvantage Technologies Group Inc,AEY - ADDvantage Technologies Group Inc
NASDAQ,ADEP,Adept Technology Inc,ADEP - Adept Technology Inc
NASDAQ,ADBE,Adobe Systems Incorporated,ADBE - Adobe Systems Incorporated
NASDAQ,ADTN,ADTRAN Inc,ADTN - ADTRAN Inc
NASDAQ,AEIS,Advanced Energy Industries Inc,AEIS - Advanced Energy Industries Inc
NASDAQ,ADVS,Advent Software Inc,ADVS - Advent Software Inc
NASDAQ,AVCA,Advocat Inc,AVCA - Advocat Inc
NASDAQ,AEGR,Aegerion Pharmaceuticals Inc,AEGR - Aegerion Pharmaceuticals Inc
NASDAQ,AEGN,Aegion Corp,AEGN - Aegion Corp
NASDAQ,AEHR,Aehr Test Systems,AEHR - Aehr Test Systems
NASDAQ,AEPI,AEP Industries Inc,AEPI - AEP Industries Inc
NASDAQ,AVAV,AeroVironment Inc,AVAV - AeroVironment Inc
NASDAQ,AEZS,AEterna Zentaris Inc,AEZS - AEterna Zentaris Inc
NASDAQ,ATRM,Aetrium Incorporated,ATRM - Aetrium Incorporated
NASDAQ,AFCE,AFC Enterprises Inc,AFCE - AFC Enterprises Inc
NASDAQ,AFFM,Affirmative Insurance Holdings Inc,AFFM - Affirmative Insurance Holdings Inc
NASDAQ,AFFY,Affymax Inc,AFFY - Affymax Inc
NASDAQ,AFFX,Affymetrix Inc,AFFX - Affymetrix Inc
NASDAQ,AGEN,Agenus Inc,AGEN - Agenus Inc
NASDAQ,AGYS,Agilysys Inc,AGYS - Agilysys Inc
NASDAQ,AIRM,Air Methods Corporation,AIRM - Air Methods Corporation
NASDAQ,AIRT,Air T Inc,AIRT - Air T Inc
NASDAQ,ATSG,Air Transport Services Group Inc,ATSG - Air Transport Services Group Inc
NASDAQ,AMCN,AirMedia Group Inc,AMCN - AirMedia Group Inc
NASDAQ,AIXG,Aixtron SE,AIXG - Aixtron SE
NASDAQ,AKAM,Akamai Technologies Inc,AKAM - Akamai Technologies Inc
NASDAQ,AKRX,Akorn Inc,AKRX - Akorn Inc
NASDAQ,ALSK,Alaska Communications Systems Group Inc,ALSK - Alaska Communications Systems Group Inc
NASDAQ,AMRI,Albany Molecular Research Inc,AMRI - Albany Molecular Research Inc
NASDAQ,ALXN,Alexion Pharmaceuticals Inc,ALXN - Alexion Pharmaceuticals Inc
NASDAQ,ALXA,Alexza Pharmaceuticals Inc,ALXA - Alexza Pharmaceuticals Inc
NASDAQ,ALCO,Alico Inc,ALCO - Alico Inc
NASDAQ,ALGN,Align Technology Inc,ALGN - Align Technology Inc
NASDAQ,ALIM,Alimera Sciences Inc,ALIM - Alimera Sciences Inc
NASDAQ,ALKS,Alkermes plc,ALKS - Alkermes plc
NASDAQ,ALGT,Allegiant Travel Company,ALGT - Allegiant Travel Company
NASDAQ,ALLB,Alliance Bancorp Inc of Pennsylvania,ALLB - Alliance Bancorp Inc of Pennsylvania
NASDAQ,ABVA,Alliance Bankshares Corporation,ABVA - Alliance Bankshares Corporation
NASDAQ,AFOP,Alliance Fiber Optic Products Inc,AFOP - Alliance Fiber Optic Products Inc
NASDAQ,ALNC,Alliance Financial Corporation,ALNC - Alliance Financial Corporation
NASDAQ,AHGP,Alliance Holdings GP LP,AHGP - Alliance Holdings GP LP
NASDAQ,ARLP,Alliance Resource Partners LP,ARLP - Alliance Resource Partners LP
NASDAQ,AHPI,Allied Healthcare Products Inc,AHPI - Allied Healthcare Products Inc
NASDAQ,AMOT,Allied Motion Technologies Inc,AMOT - Allied Motion Technologies Inc
NASDAQ,ALTH,Allos Therapeutics Inc,ALTH - Allos Therapeutics Inc
NASDAQ,ALLT,Allot Communications Ltd,ALLT - Allot Communications Ltd
NASDAQ,MDRX,Allscripts Healthcare Solutions Inc,MDRX - Allscripts Healthcare Solutions Inc
NASDAQ,AFAM,Almost Family Inc,AFAM - Almost Family Inc
NASDAQ,ALNY,Alnylam Pharmaceuticals Inc,ALNY - Alnylam Pharmaceuticals Inc
NASDAQ,AOSL,Alpha and Omega Semiconductor Limited,AOSL - Alpha and Omega Semiconductor Limited
NASDAQ,ATEC,Alphatec Holdings Inc,ATEC - Alphatec Holdings Inc
NASDAQ,ALTI,Altair Nanotechnologies Inc,ALTI - Altair Nanotechnologies Inc
NASDAQ,ALTR,Altera Corporation,ALTR - Altera Corporation
NASDAQ,ALTE,Alterra Capital Holdings Limited,ALTE - Alterra Capital Holdings Limited
NASDAQ,ASPS,Altisource Portfolio Solutions SA,ASPS - Altisource Portfolio Solutions SA
NASDAQ,APSA,Alto Palermo SA,APSA - Alto Palermo SA
NASDAQ,AIMC,Altra Holdings Inc,AIMC - Altra Holdings Inc
NASDAQ,ALVR,Alvarion Ltd,ALVR - Alvarion Ltd
NASDAQ,AMAG,AMAG Pharmaceuticals Inc,AMAG - AMAG Pharmaceuticals Inc
NASDAQ,AMRN,Amarin Corporation PLC,AMRN - Amarin Corporation PLC
NASDAQ,AMZN,Amazoncom Inc,AMZN - Amazoncom Inc
NASDAQ,EPAX,Ambassadors Group Inc,EPAX - Ambassadors Group Inc
